latitude,longitude,COUNTY,2008,2009,2010,2011,2012,2013,2014,2015,2016
37.609029,-121.899142,Alameda,195,546,850,1507,115,843,130,3458,170
38.449089,-120.591102,Amador,348,81,42,114,102,221,179,70892,383
39.651928,-121.585844,Butte,79767,146,191,276,311,3416,559,16,0
38.255818,-120.498149,Calaveras,413,674,230,1145,569,211,322,293,1453
39.146558,-122.220956,Colusa,76,15,7,77,4285,11,16,79,7
37.903481,-121.917534,Contra Costa,164,347,409,475,145,3971,210,363,224
41.726177,-123.913280,Del Norte,34,311,22,3,122,15,14,6,105
38.757414,-120.527613,El Dorado,788,130,134,107,297,586,102085,376,371
36.671350,-119.815535,Fresno,1823,265,360,1319,574,509,242,393,13568
39.591277,-122.377866,Glenn,57,3,8,2,5,224,1,3,1
40.599742,-123.899773,Humboldt,1629,734,250,696,216,335,596,3655,768
36.559533,-117.407471,Inyo,783,1013,2,6551,21,438,137,7002,110
36.078481,-119.795634,Kings,973,0,0,48,52,6,6,2,0
39.050541,-122.777656,Lake,15115,1560,504,82,8355,870,343,171849,4041
40.768558,-120.730998,Lassen,15889,1148,331,57,298,181,13220,215,2631
37.171626,-119.773799,Madera,3672,510,157,702,188,1153,998,1151,499
37.570148,-119.903659,Mariposa,37507,157,175,111,1750,132,527,113,125
39.317649,-123.412640,Mendocino,66216,321,233,766,5333,696,13207,364,206
37.164154,-120.767860,Merced,1575,74,3060,1398,456,286,39,3789,1497
41.545049,-120.743600,Modoc,40,203,86,33,13,629,18,184,388
36.223108,-121.387743,Monterey,782,9940,403,1801,2817,202,374,1206,136624
38.489868,-122.321841,Napa,4835,204,171,619,236,447,10956,8173,139
39.354034,-120.808984,Nevada,127,78,55,44,72,131,212,2496,44
39.101206,-120.765061,Placer,1512,1098,289,59,2724,175,552,199,5722
39.943099,-120.805952,Plumas,3,31,1,4,101,2,0,2,0
33.721999,-116.037247,Riverside,31025,2542,4548,2318,6256,49460,372,1256,2088
38.473226,-121.298071,Sacramento,54,248,213,58,89,83,94,606,542
36.624809,-121.117738,San Benito,3889,115,157,119,55,466,24,769,272
34.825302,-116.083314,San Bernardino,606,1206,320,1991,1466,666,37,53,19
32.963784,-116.770628,San Diego,985,422,3594,17439,35213,13319,927,229,7963
37.937290,-121.277372,San Joaquin,110,14570,241,338,291,475,81,140,378
35.354021,-120.375716,San Luis Obispo,472,405,2017,2392,1121,408,112,4463,46805
37.496904,-122.333057,San Mateo,327,7,12,6,20,13,9,37,20
37.233325,-121.684635,Santa Clara,5063,1633,69,113,26,148,269,183,4756
37.050096,-121.990591,Santa Cruz,1320,8330,22,20,122,45,15,10,15
40.796512,-121.997919,Shasta,64418,18122,413,347,2134,8696,12918,768,480
39.584907,-120.530573,Sierra,,,4,14,2,4,0,1,0
41.500722,-122.544354,Siskiyou,235,290,61,105,592,135,292,516,844
38.221894,-121.916355,Solano,10,212,68,751,235,166,94,191,73
38.511080,-122.847339,Sonoma,1342,290,235,71,123,4189,82,129,1632
38.950968,-121.697088,Sutter,,,,2209,,272,417,180,0
37.550087,-121.050142,Stanislaus,290,1098,793,357,89,1,0,0,281
40.125133,-122.201553,Tehama,15461,107,241,324,30285,19064,343,539,1110
40.605326,-123.171268,Trinity,14505,1382,17,70,20,23,466,3439,4
36.251648,-118.852583,Tulare,3238,642,2519,3455,187,529,321,740,229
38.056944,-119.991935,Tuolumne,1674,52,297,335,1174,203,725,568,1262
38.718454,-121.905900,Yolo,372,736,39,207,20182,189,400,114,6105
39.283976,-121.355682,Yuba,291,3962,1588,854,117,229,126,72,602
