NAME,LATITUDE,LONGITUDE,DATE,DT32,DX90,TAVG
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1981,115,95,58.3
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1982,129,82,55.7
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1983,111,,
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1984,121,95,55.6
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1985,102,84,57.5
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1986,87,84,58.5
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1987,112,89,56.1
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1988,130,106,56
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1989,118,101,56.9
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1991,127,,
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1992,108,93,57
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1993,108,88,56.5
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1994,103,112,58.5
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1995,98,88,57.9
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1996,109,105,58.4
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1997,129,95,56.5
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1998,113,98,57.5
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1999,120,84,57.6
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2000,105,117,59
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2001,102,123,58.8
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2002,,107,
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2003,109,121,59.1
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2004,99,96,57.1
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2005,,96,
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2006,125,105,56.6
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2007,123,110,57.3
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2008,127,94,56
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2010,111,99,56.3
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2011,107,88,56.4
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2012,105,108,59.7
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2014,92,89,58.2
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,2015,102,94,58.7
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1980,124,77,54.1
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1981,146,75,54.4
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1982,159,58,52.3
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1983,154,75,53.3
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1984,171,83,51.8
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1985,136,79,53.1
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1986,142,79,54.2
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1988,152,93,52.2
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1989,145,68,52.3
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1990,145,75,52.9
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1992,,55,
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1993,,54,
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1994,147,100,53.9
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1995,,64,
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1996,121,91,57
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1997,132,70,54.9
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1998,130,65,54.6
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,1999,156,56,54.1
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2000,131,88,55.8
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2001,120,82,55.4
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2002,144,84,54.2
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2004,121,81,54.7
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2005,122,69,55.2
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2006,137,79,54
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2008,154,76,53.9
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2010,140,74,54
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2011,154,71,52.6
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2013,158,84,52.2
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2014,139,74,54.7
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2015,138,68,54.8
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,2016,135,78,54.3
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1980,141,67,54.6
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1981,124,69,56
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1982,143,41,52.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1983,132,62,53.7
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1984,159,54,53
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1985,124,64,54.2
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1986,106,,
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1987,126,39,53.6
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1988,125,56,54.5
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1989,103,47,54.9
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1990,108,53,54.5
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1991,137,33,52.6
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1992,110,36,53.9
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1993,118,37,52.7
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1994,122,63,54
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1995,105,47,53.9
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1996,117,69,54.8
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1997,130,29,52.8
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1998,120,43,53
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1999,119,26,54
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2000,120,63,55.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2001,106,37,54.3
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2002,128,60,54.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2003,120,55,55.3
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2004,105,36,53.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2005,,35,
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2006,133,38,53.3
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2007,110,60,54.7
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2008,139,63,53.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2009,129,48,53.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2010,140,44,52.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2011,148,40,51.7
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2012,125,60,55.4
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2013,128,47,52.1
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2014,106,44,54.8
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2015,111,39,54.3
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2016,100,53,54.2
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,2017,104,56,55.5
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1980,59,79,62.2
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1981,31,47,62.3
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1982,56,63,60.9
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1983,,65,
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1984,,45,
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1985,,66,
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1986,36,35,61.5
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1989,51,80,62.4
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1990,39,61,62.5
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1993,,86,
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1994,,91,
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1995,36,71,63.1
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1996,52,88,63.3
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,1997,67,90,60.9
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,2010,32,77,63.3
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,2011,40,118,66.1
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,2017,34,64,64.4
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1980,1,181,76.6
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1981,0,195,78.4
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1982,11,171,74.5
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1983,10,166,75.2
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1984,8,175,75.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1985,13,189,75.4
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1987,9,202,76.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1988,7,200,76.8
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1989,30,205,76.9
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1990,28,201,75.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1991,15,182,75.4
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1992,12,206,76.9
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1993,13,201,75.5
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1994,22,195,77
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1995,6,184,76.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1996,13,206,77.4
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1997,14,206,76.2
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1998,17,175,73.3
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,1999,9,186,76.4
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2000,19,194,77.1
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2001,9,208,78
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2002,10,194,77.6
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2003,4,191,78.1
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2004,3,207,77.5
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2005,4,185,77.8
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2006,6,184,78.1
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2007,11,209,79.2
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2008,4,200,78.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2009,9,194,77
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2010,7,183,77.1
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2011,11,190,76.7
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2012,3,200,79.6
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2013,10,202,78.9
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2014,2,214,79.8
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2015,11,214,78.8
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2016,8,206,79.2
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,2017,0,208,80
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1980,195,4,47.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1981,191,12,48.8
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1983,200,2,47.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1985,199,15,45.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1986,197,3,47.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1987,178,0,45.6
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1988,198,4,46.3
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1990,188,13,46.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1991,195,3,47
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1992,159,5,46.7
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1993,192,8,46.1
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1995,207,20,47.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1999,199,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1998,238,18,45.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1999,241,5,46.4
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1988,237,7,45.6
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1990,229,14,44.8
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1991,240,5,44.9
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1992,210,3,45.5
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1994,218,25,46
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1995,233,16,46.5
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1996,221,20,47.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1997,212,6,46.3
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,1999,236,6,47
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2000,173,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2001,175,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2002,188,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2003,173,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2004,171,8,48.7
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2005,175,20,50.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2007,171,35,50.8
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,2008,191,,
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2012,113,3,52.4
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2014,107,2,52.2
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2015,106,5,51.3
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2016,94,12,51.7
"GRAND CANYON NATIONAL PARK, AZ US",36.0597,-112.1098,2017,98,10,52.9
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1980,161,13,48.8
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1981,153,23,50.1
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1982,171,6,46.2
