NAME,LATITUDE,LONGITUDE,DATE,DT32,DX90,TAVG,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,,,,,,95,82,,95,84,84,89,106,101,,,93,88,112,88,105,95,98,84,117,123,107,121,96,96,105,110,94,,99,88,108,,89,94,,
"CANYONLANDS NATIONAL PARK, UT US",38.1678,-109.7597,,,,,77,75,58,75,83,79,79,,93,68,75,,55,54,100,64,91,70,65,56,88,82,84,,81,69,79,,76,,74,,71,84,74,68,78,
"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,,,,,67,69,41,62,54,64,,39,56,47,53,33,36,37,63,47,69,29,43,26,63,37,60,55,36,35,38,60,63,48,44,40,60,47,44,39,53,56
"CARLSBAD CAVERNS NATIONAL PARK, NM US",32.1783,-104.4433,,,,,79,47,63,65,45,66,35,,,80,61,,,86,91,71,88,90,,,,,,,,,,,,,77,118,,,,,,64
"DEATH VALLEY NATIONAL PARK, CA US",36.4622,-116.8669,,,,,181,195,171,166,175,189,,202,200,205,201,182,206,201,195,184,206,206,175,186,194,208,194,191,207,185,184,209,200,194,183,190,200,202,214,214,206,208
"GRAND CANYON NATIONAL PARK, AZ US",36.0527,-112.1502,,,,,4,12,,2,,15,3,0,4,,13,3,5,8,,20,,,18,5,,,,,8,20,,35,,,,,3,,2,5,12,10
"GREAT BASIN NATIONAL PARK, NV US",39.0055,-114.2205,1980,161,13,48.8,13,23,6,3,4,13,14,,16,15,20,6,,1,30,,19,,,5,23,16,32,34,4,12,11,,9,,5,5,6,8,,10,16,8
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1980,199,1,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1981,183,1,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1982,207,3,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1983,207,0,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",37.7332,-105.5119,1984,199,0,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
